KPI,Mean,Median,Minimum,Maximum
Total Children Under Care,6232.769444444444,6633.5,2002.0,11762.0
Net Intake Pressure,-44.73888888888889,-11.5,-465.0,206.0
Care Load Volatility Index,1.2458682264945178,0.8231448977121358,0.0,11.601513240857509
Backlog Accumulation Rate,-45.944596560846556,-11.5,-402.0,112.71428571428571
Discharge Offset Ratio (%),167.76081589117203,124.78632478632478,4.545454545454546,1295.6521739130435
