date,forecast_system_load
2025-12-22,1986.5349868644735
2025-12-23,1974.7562505050282
2025-12-24,1962.977514145583
2025-12-25,1951.1987777861377
2025-12-26,1939.4200414266925
2025-12-27,1927.6413050672472
2025-12-28,1915.862568707802
2025-12-29,1904.0838323483567
2025-12-30,1892.3050959889115
2025-12-31,1880.5263596294662
2026-01-01,1868.747623270021
2026-01-02,1856.9688869105757
2026-01-03,1845.1901505511305
2026-01-04,1833.4114141916853
2026-01-05,1821.63267783224
2026-01-06,1809.8539414727966
2026-01-07,1798.0752051133513
2026-01-08,1786.296468753906
2026-01-09,1774.5177323944608
2026-01-10,1762.7389960350156
2026-01-11,1750.9602596755703
2026-01-12,1739.181523316125
2026-01-13,1727.4027869566798
2026-01-14,1715.6240505972346
2026-01-15,1703.8453142377894
2026-01-16,1692.066577878344
2026-01-17,1680.2878415188989
2026-01-18,1668.5091051594536
2026-01-19,1656.7303688000084
2026-01-20,1644.9516324405631
